isin,kind
ARARGE3209S6,corporate
AT0000383864,government
AT0000A04967,government
AT0000A0U299,government
AT0000A0VRQ6,government
AT0000A10683,government
AT0000A1K9C8,government
AT0000A1K9F1,government
AT0000A1PEF7,government
AT0000A1VGK0,government
AT0000A1XML2,government
AT0000A1ZGE4,government
AT0000A21LA8,corporate
AT0000A269M8,government
AT0000A26PP6,corporate
AT0000A2AEA8,corporate
AT0000A2HLC4,government
AT0000A2KQ43,government
AT0000A2NW83,government
AT0000A2QQB6,government
AT0000A2T198,government
AT0000A2VB47,government
AT0000A2WSC8,government
AT0000A2Y8G4,government
AT0000A320H9,corporate
AT0000A324S8,government
AT0000A33SH3,government
AT0000A33SK7,government
AT0000A37249,corporate
AT0000A38239,government
AT0000A39UW5,government
AT0000A3D3Q8,government
AT0000A3EPP2,government
AT0000A3HU25,government
AT0000A3K8Q8,corporate
AT0000A3PGY9,corporate
AT0000A3RVH9,government
AT0000A3USC0,corporate
AT0000A3V234,government
AT000B044599,corporate
AT000B126032,corporate
AT000B126057,corporate
AT000B126420,corporate
AT000B129218,corporate
AT000B129267,corporate
AU0000013740,government
AU0000018442,government
AU0000087454,government
AU0000097495,government
AU0000101792,government
AU0000249302,government
AU0000253197,corporate
AU0000300535,government
AU0000345241,government
AU000XCLWAG2,government
AU000XCLWAM0,government
AU000XCLWAR9,government
AU000XCLWAS7,government
AU000XCLWAU3,government
AU3CB0249373,corporate
AU3CB0276160,government
AU3CB0295681,government
AU3CB0306934,government
AU3CB0325645,corporate
AU3CB0334613,corporate
AU3CB0338218,government
AU3CB0338747,corporate
AU3SG0002702,government
AU3SG0002710,government
AU3SG0002769,government
AU3SG0003064,government
AU3SG0003163,government
AU3SG0003379,government
AU3TB0000135,government
AU3TB0000150,government
AU3TB0000192,government
BE0000291972,government
BE0000304130,government
BE0000320292,government
BE0000326356,government
BE0000331406,government
BE0000335449,government
BE0000344532,government
BE0000347568,government
BE0000349580,government
BE0000350596,government
BE0000351602,government
BE0000352618,government
BE0000354630,government
BE0000357666,government
BE0000358672,government
BE0000360694,government
BE0000361700,government
BE0000362716,government
BE0000363722,government
BE0000364738,government
BE0000365743,government
BE0002735166,corporate
BE0002737188,corporate
BE0002775568,corporate
BE0002827088,corporate
