name	country	type	coverage	url	catalogue_contact
Interactive Brokers	US	Broker	Global ETFs / ETPs	https://www.interactivebrokers.com/	https://www.interactivebrokers.com/en/general/contact/newContact/contact.php
Alpaca	US	Broker	US ETFs / ETNs	https://alpaca.markets	support@alpaca.markets
Firstrade	US	Broker	US ETFs / ETNs	https://firstrade.com/	https://www.firstrade.com/support/contact/email
SogoTrade	US	Broker	US ETFs / ETNs	https://www.sogotrade.com/	https://www.sogotrade.com/contact-us.aspx
tastytrade	US	Broker	US ETFs / ETNs	https://www.tastytrade.com/	support@tastytrade.com
TradeStation	US	Broker	US ETFs / ETNs	https://www.tradestation.com/	InstitutionalSales@TradeStation.com
Tradier	US	Broker	US ETFs / ETNs	https://tradier.com/	service@tradierbrokerage.com
TradeZero	US	Broker	US ETFs / ETNs	https://tradezero.com/en-us	support@tradezero.us
TradeZero International	BS	Broker	US ETFs / ETNs	https://tradezero.com/	support@tradezero.co
ChoiceTrade	US	Broker	US ETFs / ETNs	https://www.choicetrade.com/	service@choicetrade.com
Charles Schwab	US	Broker	US ETFs / ETNs	https://www.schwab.com/	
Fidelity Investments	US	Broker	US ETFs / ETNs	https://www.fidelity.com/open-account/overview	https://www.fidelity.com/customer-service/contact-us
Vanguard Brokerage	US	Broker	US ETFs / ETNs	https://investor.vanguard.com/accounts-plans/brokerage-accounts	
E*TRADE (Morgan Stanley)	US	Broker	US ETFs / ETNs	https://us.etrade.com/what-we-offer/our-accounts/brokerage-account	
Merrill Edge	US	Bank	US ETFs / ETNs	https://www.merrilledge.com/global-oao	
J.P. Morgan Self-Directed	US	Bank	US ETFs / ETNs	https://www.chase.com/personal/investments/online-investing	
WellsTrade	US	Bank	US ETFs / ETNs	https://www.wellsfargo.com/investing/wellstrade-online-brokerage/open/	
Ally Invest	US	Broker	US ETFs / ETNs	https://www.ally.com/invest/	support@invest.ally.com
Axos Self-Directed Trading	US	Bank	US ETFs / ETNs	https://www.axos.com/invest/self-directed-trading	
Robinhood	US	Neobroker	US ETFs / ETNs	https://robinhood.com	
Webull	US	Neobroker	US ETFs / ETNs	https://www.webull.com/trading-investing	support@webull.com
moomoo (Futu US)	US	Neobroker	US ETFs / ETNs	https://www.moomoo.com/us	
SoFi Invest	US	Neobroker	US ETFs / ETNs	https://www.sofi.com/invest/active/	
Public.com	US	Neobroker	US ETFs / ETNs	https://public.com/signup	
