isin,kind
AEC000730023,etf
AEC000730031,etf
AEC000730049,etf
AEC000730056,etf
AEC01079C220,etf
AEC01080C228,etf
AEC01084C220,etf
AEC01137C226,etf
AEC01272C239,etf
AEC01365C249,etf
AEC01443C244,etf
AEC01574C253,etf
AEC01930C265,etf
AU0000001356,etf
AU0000002339,closedend
AU0000003022,etf
AU0000004368,etf
AU0000005209,closedend
AU0000005886,etf
AU0000005894,etf
AU0000005902,etf
AU0000008203,etf
AU0000009649,closedend
AU000000AAA3,etf
AU000000ACQ5,closedend
AU000000AFI5,closedend
AU000000AIQ2,closedend
AU000000ALI3,closedend
AU000000AMH3,closedend
AU000000ARC3,closedend
AU000000ARG4,closedend
AU000000AUI4,closedend
AU000000BEL0,closedend
AU000000BHD0,closedend
AU000000BKI3,closedend
AU000000BTC7,closedend
AU000000BTI4,closedend
AU000000CAM4,closedend
AU000000CD11,closedend
AU000000CD29,closedend
AU000000CD37,closedend
AU000000CDM8,closedend
AU000000CIN5,closedend
AU000000DJW2,closedend
AU000000FGG6,closedend
AU000000FGX1,closedend
AU000000FPC6,closedend
AU000000FSI7,closedend
AU000000GC18,closedend
AU000000GDF3,reit
AU000000GDX6,etf
AU000000GFL6,closedend
AU000000GOW5,closedend
AU000000GVF5,closedend
AU000000IAA6,etf
AU000000IAF5,etf
AU000000IBC0,closedend
AU000000IEM3,etf
AU000000IEU6,etf
AU000000IGB1,etf
AU000000IHD5,etf
AU000000IJH2,etf
AU000000IJP5,etf
AU000000IJR1,etf
AU000000IKO6,etf
AU000000ILB1,etf
AU000000ILC9,etf
AU000000INV5,closedend
AU000000IOO8,etf
AU000000IOZ4,etf
AU000000ISO9,etf
AU000000IVE4,etf
AU000000IVV8,etf
AU000000IXI1,etf
AU000000IXJ9,etf
AU000000IZZ0,etf
AU000000KAT2,closedend
AU000000LRT4,closedend
AU000000LSX4,closedend
AU000000MEC6,closedend
AU000000MVA4,etf
AU000000MVB2,etf
AU000000MVE6,etf
AU000000MVR8,etf
AU000000MVS6,etf
AU000000MVW8,etf
AU000000MXT0,closedend
AU000000NAC2,closedend
AU000000NCC8,closedend
AU000000NDQ6,etf
AU000000NGE5,closedend
AU000000NSC4,closedend
AU000000OEQ2,closedend
AU000000OOO6,etf
AU000000OZF0,etf
AU000000OZR5,etf
AU000000PGF7,closedend
AU000000PIA4,closedend
AU000000PIC0,closedend
AU000000PL81,closedend
AU000000QAU7,etf
AU000000QFN1,etf
AU000000QOZ7,etf
AU000000QRE5,etf
AU000000QUS9,etf
AU000000RCB1,etf
AU000000RDV7,etf
AU000000RGB2,etf
AU000000RSM4,etf
AU000000RYD1,closedend
AU000000SEC3,closedend
AU000000SFY4,etf
AU000000SLF1,etf
AU000000SNC4,closedend
AU000000SPY3,etf
AU000000SSO8,etf
AU000000STW9,etf
AU000000SYI8,etf
AU000000TEK4,closedend
AU000000TOP2,closedend
AU000000USD7,etf
AU000000VAE1,etf
AU000000VAF8,etf
AU000000VAP7,etf
AU000000VAS1,etf
AU000000VCF4,etf
AU000000VEQ7,etf
AU000000VEU9,etf
AU000000VGB4,etf
AU000000VGE8,etf
AU000000VGS8,etf
AU000000VHY4,etf
AU000000VIF1,etf
AU000000VLC2,etf
AU000000VSO2,etf
AU000000VTS1,etf
AU000000WAA7,closedend
AU000000WAM2,closedend
AU000000WAX9,closedend
AU000000WHF1,closedend
AU000000WLE6,closedend
AU000000WMI5,closedend
AU0000017071,closedend
AU0000018103,etf
AU0000022055,etf
AU0000022063,etf
AU0000022071,etf
AU0000022089,etf
AU0000022386,etf
AU0000022485,etf
AU0000022501,etf
AU0000023202,closedend
AU0000026163,etf
AU0000026171,etf
AU0000026189,etf
AU0000026429,etf
AU0000026569,closedend
AU0000027708,etf
AU0000028110,etf
AU0000028185,etf
AU0000031700,etf
AU0000039521,closedend
AU0000040776,closedend
AU0000041204,etf
AU0000041212,etf
AU0000041261,closedend
AU0000043069,etf
AU0000043838,etf
AU0000044786,etf
AU0000044984,etf
AU0000045585,closedend
AU0000049553,etf
AU0000050353,etf
AU0000051054,etf
AU0000053126,etf
AU0000058596,etf
AU0000059586,etf
AU0000059594,etf
AU0000059602,etf
AU0000059610,etf
AU0000060014,closedend
AU0000061186,etf
AU0000063901,etf
AU0000067514,closedend
AU0000075467,etf
AU0000076606,etf
AU0000078651,etf
AU0000078669,etf
AU0000087728,etf
AU0000087736,etf
AU0000088494,etf
AU0000088502,etf
AU0000089732,etf
AU0000090490,etf
AU0000090508,etf
AU0000092033,etf
AU0000096125,etf
AU00000A2000,etf
AU00000AUDS2,etf
AU00000AUMF0,etf
AU00000AUST8,etf
AU00000BBOZ2,etf
AU00000BBUS4,etf
AU00000BEAR2,etf
AU00000BILL3,etf
AU00000BNKS0,etf
AU00000BOND4,etf
AU00000CETF5,etf
AU00000DJRE9,etf
AU00000DRUG1,etf
AU00000ESTX4,etf
AU00000ETHI8,etf
AU00000EX202,etf
AU00000FAIR4,etf
AU00000FLOT5,etf
AU00000FOOD3,etf
AU00000FUEL4,etf
AU00000GEAR1,etf
AU00000GGUS2,etf
AU00000GOLD7,etf
AU00000GOVT2,etf
AU00000GROW4,etf
AU00000HACK8,etf
AU00000HBRD9,etf
AU00000HEUR7,etf
AU00000HJPN5,etf
AU00000HVST1,etf
AU00000IFRA4,etf
AU00000IHCB0,etf
AU00000IHEB6,etf
AU00000IHHY1,etf
AU00000IHOO8,etf
AU00000IHVV8,etf
AU00000IHWL7,etf
AU00000ISEC1,etf
AU00000IWLD6,etf
AU00000MICH7,etf
AU00000MNRS2,etf
AU00000MOAT4,etf
AU00000MOGL8,etf
AU00000MVOL7,etf
AU00000PAXX0,etf
AU00000PIXX3,etf
AU00000PLUS3,etf
AU00000QMIX4,etf
AU00000QPON6,etf
AU00000QUAL9,etf
AU00000RARI9,etf
AU00000ROBO2,etf
AU00000SMLL9,etf
AU00000SWTZ1,etf
AU00000TECH1,etf
AU00000UMAX3,etf
AU00000VACF9,etf
AU00000VBND9,etf
AU00000VDBA6,etf
AU00000VDCO5,etf
AU00000VDGR9,etf
AU00000VDHG0,etf
AU00000VGAD5,etf
AU00000WDIV5,etf
AU00000WDMF0,etf
AU00000WEMG6,etf
AU00000WRLD7,etf
AU00000WVOL6,etf
AU00000WXHG6,etf
AU00000WXOZ2,etf
AU00000YANK0,etf
AU00000YMAX5,etf
AU00000ZYAU3,etf
AU00000ZYUS5,etf
AU0000102667,etf
AU0000102675,etf
AU0000102683,etf
AU0000103012,etf
AU0000103533,etf
AU0000106049,etf
AU0000108771,closedend
AU0000110827,closedend
AU0000111981,etf
AU0000121287,etf
AU0000133324,etf
AU0000134876,etf
AU0000135543,etf
AU0000137788,etf
AU0000137796,etf
AU0000137804,etf
AU0000150880,etf
